Key,Summary,Primary-Team,FY-25,FY-26,FY-27,FY-28,FY-29,Risk-Impact,Risk-Likelihood,risk-exposure-score,IP-Platform-Scope,MSI_Covered _Yes_No
TTRD-129,Broadcast Network Firewalls replacement,Infrastructure,400000,,,,,4,4,16,Yes,Yes
TTRD-123,ScheduALL - Replacement (EOS 2023],Application & Support,200000,,,,,4,4,16,MayBe,No
TTRD-119,Dealnet - Strategical Solution,DE & Analytics,50000,,,,,3,3,9,No,No
TTRD-118,OS Upgrade and Server virtualisation,Infrastructure,,150000,,150000,,4,3,12,Yes,Yes
TTRD-115,Car Park application solution,Application & Support,,10000,,,,2,3,6,No,No
TTRD-109,Network Perimeter Firewalls (IP Platform),Infrastructure,810000,,,,,4,4,16,Yes,Yes
TTRD-106,AVID - 8 Airspeeds (Live Record/Replay),Broadcast & Media,1300000,,,,,4,3,12,MayBe,No
TTRD-103,Distribution Router (SDI) (IP),Broadcast & Media,,,50000,,,5,3,15,Yes,No
TTRD-102,Oracle DB - Viz one / MAM Inc upgrade,Broadcast & Media,,250000,,,,5,3,15,Yes,No
TTRD-98,Studio 3 audio Mixer - Calrec,Broadcast & Media,,,,1200000,1200000,3,2,6,Adjacent,No
TTRD-97,Studio 4 Audio Mixer - Calrec,Broadcast & Media,,,,1200000,1200000,3,2,6,Adjacent,No
TTRD-96,Upgrade TVC Signal Pulse Generators (SPGs),Broadcast & Media,,200000,,,,2,1,2,Yes,No
TTRD-95,PDC Multiviews - Miranda Kaleido Replacement ,Broadcast & Media,,400000,,,,4,4,16,Yes,Yes
TTRD-93,Transcode replacement (IP),Broadcast & Media,,250000,,,,3,4,12,Yes,Yes
TTRD-92,"Transmission Router - Cygnus TV1, 2 and Duke ",Broadcast & Media,,1500000,50000,50000,50000,5,3,15,Yes,No
TTRD-91,Studio Screen Technology (Studio 4),Broadcast & Media,,1300000,40000,,,4,3,12,Adjacent,No
TTRD-90,Exterity IPTV (in house TV Monitoring),Broadcast & Media,,50000,5000,5000,5000,3,3,9,Adjacent,No
TTRD-86,Auckland main playout and Automation,Broadcast & Media,,1250000,,,,5,4,20,Yes,Yes
TTRD-84,Production router - Evertz,Broadcast & Media,,,,1500000,1500000,2,2,4,No,No
TTRD-83,Channel DR( Disaster Recovery) WGN Playout,Broadcast & Media,,200000,20000,20000,20000,3,4,12,MayBe,Yes
TTRD-81,FITS replacement H2-FY25 (IP),Broadcast & Media,,40000,,,,4,4,16,Yes,Yes
TTRD-79,Atrium / Foyer/ TV / LED Screen systems (H2 FY25),Broadcast & Media,,300000,,,,2,3,6,No,No
TTRD-75,studio 1 overall technical rebuild,Broadcast & Media,,750000,,,,3,3,9,Adjacent,No
TTRD-74,Wellington News infrastructure,Broadcast & Media,,750000,,,,3,3,9,Adjacent,No
TTRD-73,South Island news infrastructure,Broadcast & Media,,,750000,,,3,3,9,Adjacent,No
TTRD-72,"Studio 1, 3 & 4 Control Room rebuilds",Broadcast & Media,,1000000,1000000,500000,500000,3,2,6,Adjacent,No
TTRD-70,Studio 4 soft set Videowall + Black Storms - 3yr TCO,Broadcast & Media,,540000,,,,3,5,15,Adjacent,No
TTRD-47,Studio 4 Robotics Camera replacement (FY24 deferred) - 3yr TCO,Broadcast & Media,,1900000,,,,4,4,16,Adjacent,No
TTRD-46,Calrec Audio over IP,Broadcast & Media,,,,,,2,1,2,No,No
TTRD-40,Auth0 - Technical strategy,Digital-Squads,,,,,,4,4,16,MayBe,Yes
TTRD-25,Server Patching - Vulnerability Mgmt,Infrastructure,,160000,,,,4,3,12,MayBe,Yes
