Key,Summary,Primary-Team,FY-25,FY-26,FY-27,FY-28,FY-29,Risk-Impact,Risk-Likelihood,risk-exposure-score,IP-Platform-Scope,MSI_Covered _Yes_No,Type-Of-Initiative
TTRD-91,Studio Screen Technology (Studio 4),Broadcast & Media,,,1300000.0,40000.0,,4,3,12.0,Adjacent,No,Risk-Tech-Debt_TVNZ
TTRD-90,Exterity IPTV (in house TV Monitoring),Broadcast & Media,,50000.0,,,,3,3,9.0,Adjacent,No,Risk-Tech-Debt_TVNZ
TTRD-86,Auckland main playout and Automation,Broadcast & Media,,,1250000.0,,,5,4,20.0,Yes,Yes,Risk-Tech-Debt_TVNZ
TTRD-84,Production router - Evertz,Broadcast & Media,,,,1500000.0,1500000.0,2,2,4.0,No,No,Risk-Tech-Debt_TVNZ
TTRD-83,Channel DR( Disaster Recovery) WGN Playout,Broadcast & Media,,200000.0,20000.0,,,4,4,16.0,MayBe,Yes,Risk-Tech-Debt_TVNZ
TTRD-81,FITS replacement ,Broadcast & Media,,40000.0,,,,4,4,16.0,Yes,Yes,Risk-Tech-Debt_TVNZ
TTRD-79,Atrium / Foyer/ TV / LED Screen systems ,Broadcast & Media,,300000.0,,,,2,3,6.0,No,No,Risk-Tech-Debt_TVNZ
TTRD-75,studio 1 overall technical rebuild,Broadcast & Media,,,,750000.0,,3,3,9.0,Adjacent,No,Risk-Tech-Debt_TVNZ
TTRD-74,Wellington News infrastructure,Broadcast & Media,,750000.0,,,,3,3,9.0,Adjacent,No,Risk-Tech-Debt_TVNZ
TTRD-73,South Island news infrastructure,Broadcast & Media,,,,750000.0,,3,3,9.0,Adjacent,No,Risk-Tech-Debt_TVNZ
TTRD-72,Studio 3 & 4 Control Room rebuilds,Broadcast & Media,,250000.0,250000.0,200000.0,200000.0,3,2,6.0,Adjacent,No,Risk-Tech-Debt_TVNZ
TTRD-70,Studio 4 soft set Videowall + Black Storms,Broadcast & Media,,540000.0,,,,3,5,15.0,Adjacent,No,Risk-Tech-Debt_TVNZ
TTRD-47,Studio 4 Robotics Camera replacement ,Broadcast & Media,,1000000.0,900000.0,,,3,4,12.0,Adjacent,No,Risk-Tech-Debt_TVNZ
TTRD-46,Calrec Audio over IP,Broadcast & Media,,,,,,2,1,2.0,Adjacent,No,Risk-Tech-Debt_TVNZ
TTRD-276,WGN DR Enterprise App migration to Cloud,Infrastructure,,160000.0,,,,3,3,9.0,MayBe,Yes,Risk-Tech-Debt
TTRD-272,FY25-FY29 - Cyber Security Initiatives,Infrastructure,813551.0,672853.0,438000.0,438000.0,438000.0,4,4,16.0,Yes,Yes,Risk-Tech-Debt
TTRD-158,Activate Upgrade,Infrastructure,20000.0,,20000.0,,,3,4,12.0,MayBe,Yes,Risk-Tech-Debt_TVNZ
TTRD-157,EDR (AntiVirus) Software Managed Service,Infrastructure,238062.0,146495.0,,,,4,3,12.0,MayBe,Yes,Risk-Tech-Debt
TTRD-156,SAN (storage area network) Switch replacement,Infrastructure,185000.0,,,,,4,3,12.0,Yes,Yes,Risk-Tech-Debt
TTRD-155,Windows Desktop SOE Upgrade,Infrastructure,20000.0,,,,,3,4,12.0,Yes,Yes,Risk-Tech-Debt
TTRD-154,MS Exchange Hybrid Server Upgrade/Re-platform,Infrastructure,120000.0,,,,,3,5,15.0,MayBe,No,Risk-Tech-Debt
TTRD-153,Citrix Software Upgrade,Infrastructure,,50000.0,,,,2,3,6.0,Yes,Yes,Risk-Tech-Debt
TTRD-152,Backup Software Upgrade,Infrastructure,,70000.0,,,,3,3,9.0,Yes,Yes,Risk-Tech-Debt
TTRD-150,Viz Hardware replacement (IP),Infrastructure,47500.0,49000.0,,,,4,3,12.0,Yes,No,Risk-Tech-Debt
TTRD-148,FY25-FY29 Hardware Lifecycle - Infra & Networks,Infrastructure,286000.0,558921.0,330210.0,184000.0,535000.0,3,3,9.0,MayBe,Yes,Risk-Tech-Debt
TTRD-129,Broadcast Network Firewalls replacement (IP Platform),Infrastructure,400000.0,,,,,4,4,16.0,Yes,Yes,Risk-Tech-Debt
TTRD-118,OS Upgrade and Server virtualisation,Infrastructure,,150000.0,,150000.0,,4,5,20.0,Yes,Yes,Risk-Tech-Debt
TTRD-109,Network Perimeter Firewalls (IP Platform),Infrastructure,810000.0,,,,,5,4,20.0,Yes,Yes,Risk-Tech-Debt
TTRD-25,Server Patching - Vulnerability Mgmt,Infrastructure,,160000.0,,,,4,3,12.0,MayBe,Yes,Risk-Tech-Debt
